Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total
 time   seconds   seconds    calls  ms/call  ms/call  name
 16.58      6.36     6.36       20   318.02   396.58  BlurY::blur_y(int, int)
 13.87     11.68     5.32       20   266.02   349.03  BlurX::blur_x(int, int)
 13.61     16.90     5.22      420    12.43    12.43  Simage_s::operator=(Simage_s const&)
 12.36     21.64     4.74      380    12.47    12.47  Image_s::operator=(Image_s const&)
  6.60     24.17     2.53       20   126.51   126.52  Non_Max_Supp::non_max_supp(int, int, unsigned char*)
  5.01     26.09     1.92 1643018240     0.00     0.00  Fkernal_s::operator[](int)
  4.64     27.87     1.78      158    11.27    11.27  Simage_s::Simage_s()
  4.09     29.44     1.57       20    78.51   138.60  Apply_Hysteresis::apply_hysteresis(int, int, float, float, unsigned char*)
  3.96     30.96     1.52       20    76.00    96.91  Derivative_X_Y::derivative_x_y(int, int)
  3.96     32.48     1.52      136    11.18    11.18  Image_s::Image_s()
  2.32     33.37     0.89       20    44.50    61.93  Magnitude_X_Y::magnitude_x_y(int, int)
  2.27     34.24     0.87 1026205699     0.00     0.00  Simage_s::operator[](int)
  2.11     35.05     0.81       60    13.50    13.50  Fimage_s::operator=(Fimage_s const&)
  1.85     35.76     0.71 493027200     0.00     0.00  Image_s::operator[](int)
  1.69     36.41     0.65 492885120     0.00     0.00  Fimage_s::operator[](int)
  1.69     37.06     0.65   106781     0.01     0.01  Apply_Hysteresis::follow_edges(unsigned char*, short*, short, int)
  1.23     37.53     0.47       22    21.37    21.37  Fkernal_s::operator float*()
  1.04     37.93     0.40   106841     0.00     0.00  Simage_s::operator short*()
  0.68     38.19     0.26       23    11.31    11.31  Fimage_s::Fimage_s()
  0.26     38.29     0.10       80     1.25     1.25  Image_s::operator unsigned char*()
  0.18     38.36     0.07                             Fimage_s::operator float*()
  0.00     38.36     0.00      724     0.00     0.00  sc_core::sc_prim_channel::request_update()
  0.00     38.36     0.00      724     0.00     0.00  sc_core::sc_prim_channel_registry::request_update(sc_core::sc_prim_channel&)
  0.00     38.36     0.00      309     0.00     0.00  sc_core::sc_get_curr_simcontext()
  0.00     38.36     0.00      244     0.00     0.00  sc_core::sc_fifo<Simage_s>::num_available() const
  0.00     38.36     0.00      205     0.00     0.00  sc_core::sc_fifo<Image_s>::num_available() const
  0.00     38.36     0.00      165     0.00     0.00  sc_core::sc_fifo<Image_s>::num_free() const
  0.00     38.36     0.00      144     0.00    35.12  sc_core::sc_fifo_in<Simage_s>::read(Simage_s&)
  0.00     38.36     0.00      144     0.00    35.12  sc_core::sc_fifo<Simage_s>::read(Simage_s&)
  0.00     38.36     0.00      144     0.00     0.00  sc_core::sc_port_b<sc_core::sc_fifo_in_if<Simage_s> >::operator->()
  0.00     38.36     0.00      140     0.00    12.43  sc_core::sc_fifo_out<Simage_s>::write(Simage_s const&)
  0.00     38.36     0.00      140     0.00    12.43  sc_core::sc_fifo<Simage_s>::write(Simage_s const&)
  0.00     38.36     0.00      140     0.00    36.13  sc_core::sc_fifo<Simage_s>::buf_read(Simage_s&)
  0.00     38.36     0.00      140     0.00    12.43  sc_core::sc_fifo<Simage_s>::buf_write(Simage_s const&)
  0.00     38.36     0.00      140     0.00     0.00  sc_core::sc_port_b<sc_core::sc_fifo_out_if<Simage_s> >::operator->()
  0.00     38.36     0.00      140     0.00     0.00  sc_core::sc_fifo<Simage_s>::num_free() const
  0.00     38.36     0.00      124     0.00    34.96  sc_core::sc_fifo_in<Image_s>::read(Image_s&)
  0.00     38.36     0.00      124     0.00    34.96  sc_core::sc_fifo<Image_s>::read(Image_s&)
  0.00     38.36     0.00      124     0.00     0.00  sc_core::sc_port_b<sc_core::sc_fifo_in_if<Image_s> >::operator->()
  0.00     38.36     0.00      122     0.00     0.00  Fkernal_s::operator=(Fkernal_s const&)
  0.00     38.36     0.00      120     0.00    12.47  sc_core::sc_fifo_out<Image_s>::write(Image_s const&)
  0.00     38.36     0.00      120     0.00    12.47  sc_core::sc_fifo<Image_s>::write(Image_s const&)
  0.00     38.36     0.00      120     0.00    36.13  sc_core::sc_fifo<Image_s>::buf_read(Image_s&)
  0.00     38.36     0.00      120     0.00    12.47  sc_core::sc_fifo<Image_s>::buf_write(Image_s const&)
  0.00     38.36     0.00      120     0.00     0.00  sc_core::sc_port_b<sc_core::sc_fifo_out_if<Image_s> >::operator->()
  0.00     38.36     0.00      108     0.00     0.00  std::type_info::name() const
  0.00     38.36     0.00       72     0.00     0.00  bool std::operator==<char, std::char_traits<char>, std::allocator<char> >(std::basic_string<char, std::char_traits<char>, std::allocator<char> > const&, char const*)
  0.00     38.36     0.00       65     0.00     0.00  sc_core::sc_fifo<Fkernal_s>::num_free() const
  0.00     38.36     0.00       59     0.00     0.00  sc_core::sc_fifo<int>::num_available() const
  0.00     38.36     0.00       54     0.00     0.00  std::vector<sc_core::sc_fifo_in_if<Image_s>*, std::allocator<sc_core::sc_fifo_in_if<Image_s>*> >::size() const
  0.00     38.36     0.00       54     0.00     0.00  std::__niter_base<sc_core::sc_fifo_in_if<Image_s>**, false>::__b(sc_core::sc_fifo_in_if<Image_s>**)
